Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
53,0,Travel_Rarely,301,Research & Development,22,4,Other,1,1655,1,Female,72,3,4,Research Director,2,Married,22157.550000000003,3498,3,Y,No,16,3,2,80,2,27.0,2,3,4,2,1,2
54,0,Travel_Rarely,813,Research & Development,17,5,Life Sciences,1,1656,4,Female,50,2,3,Research Director,1,Divorced,17913.15,21981,5,Y,No,15,3,3,80,3,19.0,3,3,14,11,1,11
24,0,Travel_Rarely,1141,Sales,2,3,Medical,1,1657,3,Female,31,3,1,Sales Representative,3,Single,3757.05,13251,1,Y,No,19,3,1,80,0,2.0,3,3,2,2,2,2
38,0,Travel_Rarely,1130,Research & Development,3,3,Life Sciences,1,1658,4,Female,66,3,2,Research Scientist,2,Divorced,7334.55,19332,1,Y,No,12,3,3,80,1,11.0,2,3,11,8,7,9
40,0,Travel_Rarely,311,Research & Development,7,3,Life Sciences,1,1659,1,Male,77,3,1,Laboratory Technician,2,Single,2717.55,10950,2,Y,No,11,3,3,80,0,15.0,4,3,4,3,1,3
53,0,Travel_Rarely,465,Research & Development,6,1,Life Sciences,1,1661,3,Female,41,2,4,Healthcare Representative,3,Married,18854.100000000002,11652,2,Y,Yes,19,3,2,80,1,30.0,3,3,15,11,2,12
40,0,Non-Travel,894,Research & Development,1,4,Medical,1,1662,4,Female,33,2,2,Manufacturing Director,3,Married,5904.900000000001,15411,0,Y,No,15,3,3,80,0,4.0,6,3,3,2,1,2
40,0,Travel_Rarely,1040,Research & Development,3,2,Life Sciences,1,1664,4,Male,79,4,2,Healthcare Representative,1,Divorced,9236.7,26308,6,Y,No,20,4,1,80,1,13.0,3,3,5,4,0,4
58,0,Travel_Rarely,584,Research & Development,22,5,Medical,1,1665,2,Female,91,3,4,Manager,3,Married,23525.100000000002,18685,3,Y,No,25,4,3,80,1,36.0,6,3,10,8,4,7
47,0,Travel_Rarely,1291,Research & Development,15,2,Life Sciences,1,1666,3,Male,65,2,4,Research Director,3,Married,23764.050000000003,3525,1,Y,No,24,4,1,80,1,14.0,3,3,14,10,6,11
